type priority daystoresolve
question 3 22.526099537048612
improvement 3 5.377708333310185
improvement 4 0.08711805555555556
bug 4 0.04730324074074074
improvement 4 0.0029976851851851853
bug 4 0.0004398148148148148
improvement 3 1.8392824074305554
improvement 3 125.24896990747685
improvement 3 0.04715277777777778
improvement 3 3.263090277731482
newfeature 3 6.491863425914352
newfeature 3 4.669745370347222
improvement 3 46.88079861108796
newfeature 3 10.579606481516205
improvement 3 14.684687500011574
newfeature 3 13.779108796296295
subtask 3 6.4900462962847225
subtask 3 4.668344907384259
newfeature 3 130.0496296296759
bug 3 0.12148148148148148
bug 3 0.3105324074074074
improvement 3 0.0038194444444444443
bug 3 2.1378819444675923
bug 3 0.22574074074074074
improvement 3 0.21394675925925927
improvement 3 1.9387384258680556
bug 3 0.4104050925925926
improvement 3 4.941099537013889
improvement 3 8.064467592604167
newfeature 3 10.751886574120372
bug 3 0.04807870370370371
newfeature 3 0.8047916666782406
improvement 3 102.42665509263888
improvement 3 3.723263888935185
improvement 3 0.04724537037037037
improvement 3 46.879629629606484
improvement 3 0.00011574074074074075
bug 3 9.067881944467592
improvement 3 4.47665509255787
task 3 4.327037037083333
newfeature 3 0.09188657407407408
improvement 3 0.43600694444444443
subtask 4 0.2087152777777778
improvement 4 48.21267361109954
subtask 4 0.2406712962962963
newfeature 4 44.43119212958333
improvement 4 0.4659375000115741
improvement 3 1.8317592592824072
improvement 3 0.5842824074189815
bug 3 2.7263425925462963
bug 3 0.0577662037037037
improvement 3 2.877060185138889
bug 3 0.00034722222222222224
newfeature 4 0.0001388888888888889
improvement 4 25.21728009255787
bug 4 3.006585648101852
bug 4 0.17738425925925927
bug 4 0.021655092592592594
improvement 4 2.2313425925347223
bug 2 0.03025462962962963
bug 3 15.104375000011574
improvement 3 0.7951388889004629
bug 3 7.330416666666666
bug 3 0.1541435185185185
bug 4 0.03040509259259259
bug 4 0.2174074074074074
bug 2 7.829918981493056
bug 3 45.83047453700232
bug 3 0.2083449074074074
improvement 4 27.35931712961806
bug 4 0.0005092592592592592
bug 4 0.0004398148148148148
improvement 4 30.045960648171295
improvement 4 4.6296296296296294e-05
bug 2 0.03599537037037037
bug 2 1.7041898148379628
bug 3 0.7850810185300925
bug 3 0.0028703703703703703
bug 3 0.005405092592592592
improvement 3 0.00030092592592592595
bug 3 0.9906365740046296
subtask 3 0.10162037037037037
improvement 3 7.991307870381944
bug 3 55.08666666665509
subtask 3 0.00017361111111111112
bug 3 0.18332175925925925
improvement 3 0.03418981481481481
improvement 3 15.83915509261574
improvement 4 0.42748842592592595
bug 4 3.472222222222222e-05
improvement 4 96.30009259256946
subtask 4 9.259259259259259e-05
bug 4 0.22131944444444446
newfeature 4 0.9925694444560185
bug 4 1.2090162037152776
improvement 4 15.023969907418982
improvement 4 5.063506944421296
bug 4 0.09180555555555556
bug 2 7.778067129641204
improvement 3 4.6296296296296294e-05
improvement 3 76.92277777777778
