period	w.size	ndiff	nwind	p.nval	p.nnorm	RMSE	90 conf	75 conf	
14	24	0	290	0.069	0.0259	6.0037	0.8365	0.749	
14	27	0	287	0.0801	0.0417	5.9975	0.8182	0.751	
14	30	0	284	0.1021	0.0235	6.141	0.8233	0.7229	
14	33	0	281	0.1032	0.0238	6.1056	0.8496	0.7276	
14	36	0	278	0.0719	0.031	6.0073	0.844	0.72	
14	39	0	275	0.0873	0.0558	5.9884	0.8523	0.7257	
14	42	0	272	0.114	0.0539	6.1075	0.8509	0.75	
14	45	0	269	0.1413	0.0606	6.2182	0.8341	0.7005	
14	48	0	266	0.0789	0.0898	5.9654	0.843	0.7265	
14	51	0	263	0.1065	0.0936	5.8776	0.8263	0.7089	
14	54	0	260	0.0923	0.0932	5.9439	0.8551	0.7477	
14	24	1	289	0.0796	0.0226	6.2665	0.3885	0.2885	
14	27	1	286	0.1084	0.0157	6.2945	0.3546	0.255	
14	30	1	283	0.1131	0.012	6.218	0.4274	0.3145	
14	33	1	280	0.1321	0.0041	6.1343	0.405	0.3182	
14	36	1	277	0.13	0.0041	6.1594	0.4333	0.3292	
14	39	1	274	0.1423	0.0128	6.2107	0.4095	0.3147	
14	42	1	271	0.1624	0.0088	6.1955	0.4089	0.3022	
14	45	1	268	0.1754	0.0136	6.1543	0.3716	0.2844	
14	48	1	265	0.1849	0.0509	6.0817	0.3561	0.2537	
14	51	1	262	0.1832	0.1121	6.038	0.3105	0.2316	
14	54	1	259	0.2085	0.1317	6.2281	0.3258	0.2528	
14	24	2	288	0.2153	0.031	9.5677	0.2237	0.2055	
14	27	2	285	0.2105	0.0178	9.512	0.2398	0.181	
14	30	2	282	0.2553	0.019	9.7358	0.2476	0.165	
14	33	2	279	0.233	0.0234	9.1503	0.2488	0.1675	
14	36	2	276	0.1848	0.0267	9.1365	0.2785	0.1963	
14	39	2	273	0.1941	0.0182	8.854	0.2917	0.2176	
14	42	2	270	0.2222	0.0143	8.6072	0.256	0.1691	
14	45	2	267	0.2584	0.0101	8.7087	0.2041	0.1378	
14	48	2	264	0.25	0.0253	8.2197	0.285	0.2124	
14	51	2	261	0.2682	0.0366	8.0431	0.2935	0.2065	
14	54	2	258	0.2907	0.0437	8.1704	0.3486	0.2571	
