period	w.size	ndiff	nwind	p.nval	p.nnorm	RMSE	90 conf	75 conf	
7	36	0	592	0.0338	0.0437	3.7751	0.8921	0.7971	
7	39	0	589	0.039	0.0424	3.8057	0.8985	0.7823	
7	42	0	586	0.0666	0.0256	3.7109	0.9099	0.803	
7	45	0	583	0.0858	0.0263	3.7575	0.9056	0.817	
7	48	0	580	0.0345	0.0268	3.6948	0.9156	0.811	
7	51	0	577	0.0347	0.0305	3.6648	0.9167	0.8167	
7	54	0	574	0.0505	0.0312	3.7317	0.8996	0.8239	
7	57	0	571	0.0578	0.0428	3.701	0.9107	0.8078	
7	60	0	568	0.044	0.0442	3.6616	0.9191	0.8189	
7	63	0	565	0.0531	0.0505	3.7796	0.9094	0.8051	
7	66	0	562	0.0623	0.0512	3.8422	0.908	0.818	
7	69	0	559	0.0716	0.0636	3.8496	0.9218	0.8333	
7	72	0	556	0.0629	0.0691	3.764	0.9237	0.8227	
7	75	0	553	0.0633	0.0714	3.7777	0.9148	0.8254	
7	78	0	550	0.0618	0.0659	3.7236	0.9129	0.8423	
7	36	1	591	0.0558	0	4.0317	0.3495	0.2455	
7	39	1	588	0.068	0.0036	4.0605	0.337	0.2418	
7	42	1	585	0.0547	0.0072	4.0237	0.3206	0.2277	
7	45	1	582	0.0533	0.0036	3.9689	0.3224	0.235	
7	48	1	579	0.0501	0.0073	3.869	0.3132	0.2418	
7	51	1	576	0.0556	0.0074	3.8782	0.3074	0.2352	
7	54	1	573	0.0593	0.0111	3.9158	0.2889	0.227	
7	57	1	570	0.0702	0.0132	3.8293	0.3002	0.2199	
7	60	1	567	0.06	0.0169	3.9171	0.3034	0.2137	
7	63	1	564	0.0762	0.0115	3.9501	0.3029	0.2369	
7	66	1	561	0.082	0.0155	3.9868	0.3097	0.2189	
7	69	1	558	0.0878	0.0196	3.9754	0.2866	0.2184	
7	72	1	555	0.0847	0.0276	3.9352	0.3097	0.2308	
7	75	1	552	0.0924	0.018	3.9101	0.2988	0.2134	
7	78	1	549	0.0838	0.0219	3.9379	0.3008	0.2276	
7	36	2	590	0.1746	0.0719	5.4174	0.3341	0.2456	
7	39	2	587	0.1942	0.0613	5.6012	0.3243	0.2117	
7	42	2	584	0.2089	0.0584	5.4871	0.3425	0.2345	
7	45	2	581	0.2306	0.0559	5.3992	0.3483	0.2607	
7	48	2	578	0.1972	0.0517	5.1401	0.3568	0.275	
7	51	2	575	0.2261	0.0764	4.9943	0.3382	0.2652	
7	54	2	572	0.215	0.0958	4.7969	0.3498	0.2709	
7	57	2	569	0.2478	0.0748	4.7112	0.3636	0.2803	
7	60	2	566	0.2032	0.0754	4.8994	0.3573	0.2806	
7	63	2	563	0.2114	0.0788	5.1818	0.3301	0.2396	
7	66	2	560	0.225	0.076	4.8411	0.3441	0.2718	
7	69	2	557	0.228	0.0651	5.0767	0.3657	0.2761	
7	72	2	554	0.2184	0.0785	4.9937	0.3759	0.2607	
7	75	2	551	0.2123	0.0876	4.9523	0.3409	0.2449	
7	78	2	548	0.2172	0.0816	4.9851	0.3477	0.2335	
