period	w.size	ndiff	nwind	p.nval	p.nnorm	RMSE	90 conf	75 conf	
30	12	0	58	0.1897	0.1702	30.1084	0.5385	0.4103	
30	15	0	55	0.1818	0.0444	29.8198	0.5349	0.4651	
30	18	0	52	0.25	0	29.9369	0.5128	0.3846	
30	21	0	49	0.2449	0.027	31.3845	0.5	0.3611	
30	24	0	46	0.087	0.0952	28.7562	0.6053	0.4737	
30	27	0	43	0.1395	0.1622	31.7467	0.5806	0.4839	
30	30	0	40	0.15	0.0882	30.558	0.7097	0.5161	
30	33	0	37	0.1892	0.2	31.319	0.5833	0.375	
30	36	0	34	0.0882	0.1935	32.1424	0.6	0.44	
30	12	1	57	0.1579	0.0833	38.4833	0.3409	0.2955	
30	15	1	54	0.0556	0.1765	33.5892	0.4048	0.3095	
30	18	1	51	0.1569	0.2326	29.4009	0.2121	0.1212	
30	21	1	48	0.1875	0.2308	34.4193	0.2333	0.1667	
30	24	1	45	0.0889	0.0732	34.4471	0.4211	0.2895	
30	27	1	42	0.119	0	32.8154	0.3784	0.2432	
30	30	1	39	0.2308	0.0333	34.0206	0.5172	0.3103	
30	33	1	36	0.25	0.037	35.4527	0.4231	0.2692	
30	36	1	33	0	0.0606	34.1955	0.4194	0.2581	
30	12	2	56	0.1607	0	46.1684	0.1915	0.1489	
30	15	2	53	0.0566	0	48.0847	0.16	0.14	
30	18	2	50	0.08	0	47.4011	0.2174	0.1522	
30	21	2	47	0.0851	0	50.933	0.186	0.093	
30	24	2	44	0.1136	0	49.4234	0.1795	0.1026	
30	27	2	41	0.1463	0	47.5708	0.1143	0.0857	
30	30	2	38	0.1579	0.0312	40.017	0.1935	0.0968	
30	33	2	35	0.2	0	43.9241	0.2143	0.1071	
30	36	2	32	0.0625	0	49.3429	0.0333	0.0333	
