period	w.size	ndiff	nwind	p.nval	p.nnorm	RMSE	90 conf	75 conf	
30	12	0	103	0.4563	0.0357	64.1359	0.7778	0.6852	
30	15	0	100	0.36	0.0156	54.8333	0.8413	0.746	
30	18	0	97	0.3299	0.0769	52.7232	0.85	0.7833	
30	21	0	94	0.2447	0.1127	24.6878	0.9524	0.9206	
30	24	0	91	0.1648	0.1316	27.4929	0.9394	0.8485	
30	27	0	88	0.125	0.1558	27.3194	0.9692	0.8615	
30	30	0	85	0.1294	0.1351	39.1019	0.9531	0.9062	
30	33	0	82	0.1341	0.1831	41.7956	0.9138	0.8966	
30	36	0	79	0.1646	0.1364	42.6994	0.9123	0.8772	
30	12	1	102	0.0882	0.043	55.804	0.382	0.3371	
30	15	1	99	0.0808	0.0659	38.211	0.4941	0.3647	
30	18	1	96	0.0417	0.1304	31.0359	0.425	0.3125	
30	21	1	93	0.043	0.1461	35.8527	0.4079	0.3421	
30	24	1	90	0.0556	0.1294	42.9426	0.4054	0.2838	
30	27	1	87	0.0575	0.1707	39.9849	0.3824	0.2794	
30	30	1	84	0.0833	0.1039	40.1486	0.4203	0.3188	
30	33	1	81	0.1358	0.1	40.234	0.4444	0.3175	
30	36	1	78	0.1538	0.0455	39.5017	0.3492	0.1905	
30	12	2	101	0.1386	0.0115	60.3041	0.3256	0.2209	
30	15	2	98	0.1735	0.0123	59.1983	0.35	0.2625	
30	18	2	95	0.1368	0.0732	53.2988	0.2895	0.2237	
30	21	2	92	0.163	0.1299	44.2046	0.3582	0.2836	
30	24	2	89	0.1461	0.0921	43.3983	0.3768	0.3188	
30	27	2	86	0.1628	0.1111	39.5985	0.2812	0.2656	
30	30	2	83	0.1566	0.1286	45.954	0.3115	0.2131	
30	33	2	80	0.1875	0.1385	46.0134	0.2321	0.1964	
30	36	2	77	0.1688	0.1094	44.9917	0.2807	0.193	
