"model.order" "bugs.actual" "fc.mean"
1 45 48.6783456150045
1 45 50.8258875678077
1 46 47.3502043620993
1 38 40.9578652851055
1 28 36.5108316691571
1 45 33.2956732482796
1 42 44.9509150319328
1 40 41.6947883205302
1 48 34.5174262207722
1 30 32.1093631831724
1 37 37.3198388620831
1 35 30.0567130058492
1 22 33.4476067867764
1 39 23.684963876174
1 33 37.7658864551912
1 15 35.2144380432391
1 36 20.0910141690042
1 26 27.4426016079349
1 13 30.5598895726819
2 25 19.9506584841874
2 18 30.6552326535842
2 17 7.68492997724309
2 13 25.382554277139
2 20 24.6210710258693
2 15 12.4359322001747
2 15 15.5911346541823
2 20 13.2883524377362
2 8 17.1544458674808
2 9 12.6283563793463
2 12 16.4768769280041
2 9 7.85999205076742
2 7 10.2100501487276
2 12 10.6610175121917
2 14 9.45780363573369
2 12 13.0676387006756
2 10 8.19942152861071
2 11 13.5785844827541
2 14 12.349630252562
1 14 12.2454120916299
2 18 12.8168177008425
1 16 18.2307563391104
1 17 18.2553321643709
1 17 15.3777699646453
1 18 16.3900181786657
1 17 21.398734774721
1 12 16.9595063921563
1 25 13.7445492305926
1 16 19.8968347300974
1 17 19.142932198775
2 25 12.9850315293896
1 25 20.6215653452787
1 23 21.7030267292971
1 29 25.1513822965735
1 35 26.8006146798312
1 46 32.4613555430472
1 42 42.3658888517703
1 37 43.2204816726826
1 40 36.9731292248485
1 32 40.6161948740504
1 34 36.1540287220743
1 22 31.5531860479584
1 23 26.4919920414478
1 26 22.8235075200321
1 34 22.8179139755105
1 28 32.5761149550188
1 24 32.1584977042845
1 26 26.0621259116171
1 30 23.4720398530024
1 37 26.5601435706856
1 28 35.4567788179779
1 28 31.8563302886287
1 23 28.5607662677847
1 25 23.5755567164816
1 42 25.6753399329978
1 33 38.6906476075953
1 26 37.694759507949
1 56 25.7375305879098
1 39 51.4971858588326
1 25 48.6084203032954
1 30 21.463608754911
1 50 31.3185171891195
1 46 44.4526738720641
2 35 36.4061843113397
2 26 40.1085152266549
2 17 30.6657377775542
2 27 25.6791135873946
2 32 27.8539385109346
2 36 24.9658303529573
1 56 34.0713292324904
1 34 57.1067939853611
1 20 37.8058132093468
1 50 14.6971758567422
2 71 58.5851959102127
2 46 50.8409549649744
2 26 25.4462826686275
2 30 47.3998720810633
2 15 30.9474505211215
2 28 16.3370702436867
1 35 25.3027156340115
1 32 36.7801055022406
1 23 46.2982093078218
1 36 19.657644297312
1 15 27.34729589498
1 17 28.1664891287916
1 18 9.40545620257605
1 5 14.3017473743067
1 8 9.28104564790629
1 6 6.79983029166958
1 8 6.8751737147472
1 7 9.93161294259262
1 8 5.24142426567855
1 8 25.2040905392802
1 17 8.18996162520429
1 20 20.7620512967124
1 13 9.00077488590452
