"model.order" "bugs.actual" "fc.mean"
1 54 61.4588408645126
1 44 45.2107166353267
1 67 52.7117569092134
1 36 74.5736599530574
1 36 33.3005830280497
1 50 45.441636398094
1 61 55.4213283234505
2 68 79.4460729961025
2 70 45.7437815192929
2 66 42.0401430073996
2 61 64.0193947721344
1 41 62.3487205990452
1 37 35.2163307790279
1 17 34.6201938930202
1 23 23.0864348579269
1 34 17.4717643686436
1 35 31.2092098585316
1 29 32.8676601201646
1 32 29.9018909599868
1 32 33.4348084574878
1 15 31.1970929792303
1 26 20.4970512751401
1 42 23.7509624725835
1 42 38.800320878596
1 58 41.7930525883331
1 53 55.4099772373957
1 38 51.8246811363557
1 30 38.4769726040008
1 29 28.9849428587299
1 21 28.6300970217531
1 25 28.3879811443084
1 25 23.1188943140392
1 29 25.5017144591027
1 26 27.509861727399
1 18 25.7974528625563
1 25 18.9046230350012
1 28 24.0076205988912
1 27 29.1234604333653
1 25 25.8635346183636
1 89 25.0860990823167
1 55 83.4019929974248
1 78 69.6183800654605
1 79 62.0886540958058
1 50 82.0085335227236
1 42 55.0722812543009
1 82 45.7510742769999
1 60 69.4103327749927
1 31 53.836169399675
1 41 45.1994171490634
1 48 31.016845560771
1 67 45.5335529876065
1 58 59.6449664020157
1 102 62.287255585346
1 77 90.5816571710766
1 46 87.0457151973011
1 42 54.2398389775409
1 61 45.104242240936
1 59 55.1835969910669
1 75 59.0435295514799
1 55 70.0752554523231
1 35 61.6441966358145
1 24 49.0579188754513
1 24 30.4930235181202
1 13 29.0924600281095
1 22 14.1825360103473
1 24 20.1230892090996
1 7 18.6630715775573
1 34 10.4413477343338
1 39 28.2588927320519
1 30 43.6662112937786
1 33 26.5388134099538
1 29 35.3507973043649
1 35 31.5877155466394
1 42 30.1746628144307
1 21 46.8949745091858
1 23 27.459838924654
1 18 10.7748669276483
1 24 11.3554086898228
1 21 22.36067595205
1 6 24.4469355782237
2 67 66.5780021846467
1 74 69.1779164038815
1 49 51.4288027288131
1 38 51.4408986488297
1 24 33.538024996506
1 17 33.5296239568719
1 12 15.5817246807294
1 19 16.2883703894463
1 22 19.1777639777137
1 16 21.099853438947
1 9 9.71069292336055
1 10 13.3073125541666
1 32 5.35583620538432
1 21 37.9936079862357
1 11 23.2573817000248
1 9 5.56112770194714
1 10 12.1059372636549
1 24 8.08285117920867
1 23 25.4733534047425
1 11 24.0823440616592
1 42 40.3229518516042
1 29 36.6104073115391
1 38 29.170126487594
1 20 37.1701415070452
1 24 23.7400705808249
1 20 24.9774411769031
1 24 18.1438389079271
1 21 26.6720389380788
1 20 21.8584884496031
1 16 19.6026998674487
2 10 18.9874119670975
1 33 19.8361615792694
1 27 34.0680413743107
1 42 30.1964372352703
1 100 38.3048011770988
1 59 98.8782735269074
1 36 66.6725413757973
1 42 42.1524533588845
1 70 43.7243626890135
1 61 59.5184210533696
1 41 61.6517881001937
1 46 44.7302952429344
1 33 47.421494167892
1 37 33.5955611533197
1 54 38.4079890887289
1 47 48.5184096893891
1 45 52.6058285284201
1 50 43.8547770780853
1 36 53.1029552376153
1 40 36.1273960043864
1 27 39.0963139839321
1 24 31.2143390267637
1 22 22.9421497362876
1 6 21.0105693192991
1 31 12.3003746858742
1 33 23.6518183967217
1 33 32.6355044099675
1 39 37.5753279282228
1 47 29.940400073908
1 37 50.4231695973312
1 27 40.3380487673681
1 19 27.2340749961576
1 16 19.4691657292901
1 25 17.3644892707652
1 27 22.8932966415016
1 45 32.2344057697003
1 62 35.9323533685699
1 90 63.5679766588758
1 56 84.8377202068947
1 50 61.3840016651484
1 39 50.4676173501453
1 38 39.4556866231398
1 36 45.2779138115183
1 39 28.6072484617442
1 47 75.7259131476775
1 33 39.6711825051643
1 25 38.1233277795376
1 39 25.3884553423424
1 24 36.3368817563979
1 3 24.1669381331226
1 26 0.825657162096158
1 27 29.2301999562598
1 30 24.039513625363
1 24 29.7447855360921
1 18 23.8360157570091
1 32 21.3315965656579
1 47 29.4716095512541
1 36 46.138367712464
1 38 38.0561672285438
1 35 36.3412305446337
1 29 35.3678726540669
1 30 30.7319367557359
1 14 29.8783872520815
1 23 20.7072402476358
1 35 17.8637057128128
1 21 36.5097284373079
2 33 13.5862731283919
1 26 30.041423883145
1 30 28.3929377380364
1 32 30.0828562426582
1 29 30.102435018692
1 20 30.8646148743696
1 9 9.65825234642287
1 10 21.7075532269494
1 15 3.55127273538406
1 10 11.7312344400904
1 11 10.9098395291617
1 37 11.0202508865805
1 18 33.2867743592657
1 27 28.2399535845681
1 17 23.762721647349
1 18 22.0172090631233
1 6 12.134722572593
