period	w.size	ndiff	nwind	nnval	nnnorm	RMSE	90 conf	75 conf	
14	24	0	290	20	7	6.0037	0.8365	0.749	
14	27	0	287	23	11	5.9975	0.8182	0.751	
14	30	0	284	29	6	6.141	0.8233	0.7229	
14	33	0	281	29	6	6.1056	0.8496	0.7276	
14	36	0	278	20	8	6.0073	0.844	0.72	
14	39	0	275	24	14	5.9884	0.8523	0.7257	
14	42	0	272	31	13	6.1075	0.8509	0.75	
14	45	0	269	38	14	6.2182	0.8341	0.7005	
14	48	0	266	21	22	5.9654	0.843	0.7265	
14	51	0	263	28	22	5.8776	0.8263	0.7089	
14	54	0	260	24	22	5.9439	0.8551	0.7477	
14	24	1	289	23	6	6.2665	0.3885	0.2885	
14	27	1	286	31	4	6.2945	0.3546	0.255	
14	30	1	283	32	3	6.218	0.4274	0.3145	
14	33	1	280	37	1	6.1343	0.405	0.3182	
14	36	1	277	36	1	6.1594	0.4333	0.3292	
14	39	1	274	39	3	6.2107	0.4095	0.3147	
14	42	1	271	44	2	6.1955	0.4089	0.3022	
14	45	1	268	47	3	6.1543	0.3716	0.2844	
14	48	1	265	49	11	6.0817	0.3561	0.2537	
14	51	1	262	48	24	6.038	0.3105	0.2316	
14	54	1	259	54	27	6.2281	0.3258	0.2528	
14	24	2	288	62	7	9.5677	0.2237	0.2055	
14	27	2	285	60	4	9.512	0.2398	0.181	
14	30	2	282	72	4	9.7358	0.2476	0.165	
14	33	2	279	65	5	9.1503	0.2488	0.1675	
14	36	2	276	51	6	9.1365	0.2785	0.1963	
14	39	2	273	53	4	8.854	0.2917	0.2176	
14	42	2	270	60	3	8.6072	0.256	0.1691	
14	45	2	267	69	2	8.7087	0.2041	0.1378	
14	48	2	264	66	5	8.2197	0.285	0.2124	
14	51	2	261	70	7	8.0431	0.2935	0.2065	
14	54	2	258	75	8	8.1704	0.3486	0.2571	
