period	w.size	ndiff	nwind	p.nval	p.nnorm	RMSE	90 conf	75 conf	
7	36	0	592	0.0591	0.0305	3.7673	0.913	0.7889	
7	39	0	589	0.0611	0.0271	3.7306	0.9238	0.8197	
7	42	0	586	0.0802	0.0111	3.8128	0.9193	0.8161	
7	45	0	583	0.1012	0.0191	3.7134	0.9144	0.8191	
7	48	0	580	0.0397	0.0162	3.7374	0.9161	0.8066	
7	51	0	577	0.0468	0.0127	3.7686	0.9263	0.825	
7	54	0	574	0.0662	0.0168	3.7417	0.9165	0.8254	
7	57	0	571	0.0841	0.021	3.6687	0.9297	0.8223	
7	60	0	568	0.0634	0.0301	3.6319	0.9225	0.8333	
7	63	0	565	0.0743	0.0382	3.7934	0.9205	0.8052	
7	66	0	562	0.0783	0.0309	3.8441	0.9084	0.8267	
7	69	0	559	0.0841	0.041	3.7284	0.9206	0.833	
7	72	0	556	0.0809	0.0431	3.6731	0.9243	0.8446	
7	75	0	553	0.0832	0.0513	3.725	0.921	0.8274	
7	78	0	550	0.0927	0.0541	3.6772	0.9237	0.8644	
7	36	1	591	0.0694	0.0018	4.1735	0.3206	0.2386	
7	39	1	588	0.0799	0.0018	4.1422	0.3278	0.237	
7	42	1	585	0.0872	0.0056	4.0706	0.3183	0.2335	
7	45	1	582	0.0893	0.0038	4.0627	0.3201	0.233	
7	48	1	579	0.0725	0.0093	3.9848	0.3233	0.2406	
7	51	1	576	0.0868	0.0076	3.9977	0.3123	0.2337	
7	54	1	573	0.0942	0	3.9866	0.2929	0.2197	
7	57	1	570	0.1	0.0078	3.8877	0.3163	0.224	
7	60	1	567	0.097	0.0137	3.9514	0.3267	0.2297	
7	63	1	564	0.1046	0.0238	3.8717	0.3083	0.2495	
7	66	1	561	0.1176	0.0263	3.9164	0.3008	0.2158	
7	69	1	558	0.1147	0.0445	3.9949	0.2945	0.2097	
7	72	1	555	0.1063	0.0423	3.9048	0.2926	0.2021	
7	75	1	552	0.1159	0.0656	3.9569	0.2939	0.2193	
7	78	1	549	0.1257	0.0771	3.9483	0.3228	0.2483	
7	36	2	590	0.1763	0.0597	5.5307	0.3173	0.2298	
7	39	2	587	0.1925	0.0612	5.7166	0.3326	0.2404	
7	42	2	584	0.2021	0.0687	5.497	0.3571	0.2788	
7	45	2	581	0.2341	0.0764	5.2726	0.3431	0.2482	
7	48	2	578	0.2076	0.0633	5.1117	0.3543	0.2727	
7	51	2	575	0.233	0.0544	5.0121	0.3381	0.2758	
7	54	2	572	0.2517	0.0631	4.8783	0.3666	0.2793	
7	57	2	569	0.2601	0.0689	4.8049	0.3929	0.2883	
7	60	2	566	0.2597	0.0453	5.0306	0.3725	0.2975	
7	63	2	563	0.2806	0.0617	4.8622	0.3553	0.2868	
7	66	2	560	0.2607	0.0556	4.821	0.3683	0.289	
7	69	2	557	0.2406	0.0426	4.6549	0.3728	0.284	
7	72	2	554	0.213	0.0436	4.7127	0.3789	0.2854	
7	75	2	551	0.2105	0.0483	4.6738	0.3599	0.2585	
7	78	2	548	0.2135	0.0418	4.7815	0.3995	0.2688	
