period	w.size	ndiff	nwind	nnval	nnnorm	RMSE	90 conf	75 conf	
7	36	0	592	35	17	3.7673	0.913	0.7889	
7	39	0	589	36	15	3.7306	0.9238	0.8197	
7	42	0	586	47	6	3.8128	0.9193	0.8161	
7	45	0	583	59	10	3.7134	0.9144	0.8191	
7	48	0	580	23	9	3.7374	0.9161	0.8066	
7	51	0	577	27	7	3.7686	0.9263	0.825	
7	54	0	574	38	9	3.7417	0.9165	0.8254	
7	57	0	571	48	11	3.6687	0.9297	0.8223	
7	60	0	568	36	16	3.6319	0.9225	0.8333	
7	63	0	565	42	20	3.7934	0.9205	0.8052	
7	66	0	562	44	16	3.8441	0.9084	0.8267	
7	69	0	559	47	21	3.7284	0.9206	0.833	
7	72	0	556	45	22	3.6731	0.9243	0.8446	
7	75	0	553	46	26	3.725	0.921	0.8274	
7	78	0	550	51	27	3.6772	0.9237	0.8644	
7	36	1	591	41	1	4.1735	0.3206	0.2386	
7	39	1	588	47	1	4.1422	0.3278	0.237	
7	42	1	585	51	3	4.0706	0.3183	0.2335	
7	45	1	582	52	2	4.0627	0.3201	0.233	
7	48	1	579	42	5	3.9848	0.3233	0.2406	
7	51	1	576	50	4	3.9977	0.3123	0.2337	
7	54	1	573	54	0	3.9866	0.2929	0.2197	
7	57	1	570	57	4	3.8877	0.3163	0.224	
7	60	1	567	55	7	3.9514	0.3267	0.2297	
7	63	1	564	59	12	3.8717	0.3083	0.2495	
7	66	1	561	66	13	3.9164	0.3008	0.2158	
7	69	1	558	64	22	3.9949	0.2945	0.2097	
7	72	1	555	59	21	3.9048	0.2926	0.2021	
7	75	1	552	64	32	3.9569	0.2939	0.2193	
7	78	1	549	69	37	3.9483	0.3228	0.2483	
7	36	2	590	104	29	5.5307	0.3173	0.2298	
7	39	2	587	113	29	5.7166	0.3326	0.2404	
7	42	2	584	118	32	5.497	0.3571	0.2788	
7	45	2	581	136	34	5.2726	0.3431	0.2482	
7	48	2	578	120	29	5.1117	0.3543	0.2727	
7	51	2	575	134	24	5.0121	0.3381	0.2758	
7	54	2	572	144	27	4.8783	0.3666	0.2793	
7	57	2	569	148	29	4.8049	0.3929	0.2883	
7	60	2	566	147	19	5.0306	0.3725	0.2975	
7	63	2	563	158	25	4.8622	0.3553	0.2868	
7	66	2	560	146	23	4.821	0.3683	0.289	
7	69	2	557	134	18	4.6549	0.3728	0.284	
7	72	2	554	118	19	4.7127	0.3789	0.2854	
7	75	2	551	116	21	4.6738	0.3599	0.2585	
7	78	2	548	117	18	4.7815	0.3995	0.2688	
