period	w.size	ndiff	nwind	nnval	nnnorm	RMSE	90 conf	75 conf	
30	12	0	103	47	2	64.1359	0.7778	0.6852	
30	15	0	100	36	1	54.8333	0.8413	0.746	
30	18	0	97	32	5	52.7232	0.85	0.7833	
30	21	0	94	23	8	24.6878	0.9524	0.9206	
30	24	0	91	15	10	27.4929	0.9394	0.8485	
30	27	0	88	11	12	27.3194	0.9692	0.8615	
30	30	0	85	11	10	39.1019	0.9531	0.9062	
30	33	0	82	11	13	41.7956	0.9138	0.8966	
30	36	0	79	13	9	42.6994	0.9123	0.8772	
30	12	1	102	9	4	55.804	0.382	0.3371	
30	15	1	99	8	6	38.211	0.4941	0.3647	
30	18	1	96	4	12	31.0359	0.425	0.3125	
30	21	1	93	4	13	35.8527	0.4079	0.3421	
30	24	1	90	5	11	42.9426	0.4054	0.2838	
30	27	1	87	5	14	39.9849	0.3824	0.2794	
30	30	1	84	7	8	40.1486	0.4203	0.3188	
30	33	1	81	11	7	40.234	0.4444	0.3175	
30	36	1	78	12	3	39.5017	0.3492	0.1905	
30	12	2	101	14	1	60.3041	0.3256	0.2209	
30	15	2	98	17	1	59.1983	0.35	0.2625	
30	18	2	95	13	6	53.2988	0.2895	0.2237	
30	21	2	92	15	10	44.2046	0.3582	0.2836	
30	24	2	89	13	7	43.3983	0.3768	0.3188	
30	27	2	86	14	8	39.5985	0.2812	0.2656	
30	30	2	83	13	9	45.954	0.3115	0.2131	
30	33	2	80	15	9	46.0134	0.2321	0.1964	
30	36	2	77	13	7	44.9917	0.2807	0.193	
