period	w.size	ndiff	nwind	nnval	nnnorm	RMSE	90 conf	75 conf	
14	24	0	223	11	9	19.3307	0.8867	0.7882	
14	27	0	220	11	11	15.816	0.904	0.798	
14	30	0	217	13	14	15.7743	0.9053	0.8053	
14	33	0	214	12	11	14.8422	0.9162	0.8115	
14	36	0	211	9	19	14.7299	0.9454	0.847	
14	39	0	208	8	25	14.5529	0.9543	0.88	
14	42	0	205	3	32	14.7545	0.9412	0.8471	
14	45	0	202	8	39	14.0061	0.9548	0.8839	
14	48	0	199	6	47	15.2696	0.9452	0.8836	
14	51	0	196	7	50	14.7779	0.9353	0.9065	
14	54	0	193	8	53	15.0171	0.9318	0.9091	
14	24	1	222	22	8	16.4695	0.4635	0.3438	
14	27	1	219	21	5	15.2702	0.4611	0.3938	
14	30	1	216	24	3	15.9387	0.3757	0.328	
14	33	1	213	20	3	15.968	0.3947	0.2842	
14	36	1	210	16	5	15.7459	0.3915	0.3069	
14	39	1	207	17	5	15.2116	0.3243	0.2919	
14	42	1	204	16	5	15.1269	0.3497	0.235	
14	45	1	201	16	5	14.038	0.3667	0.2889	
14	48	1	198	13	6	14.2528	0.3408	0.2849	
14	51	1	195	16	5	14.6695	0.2989	0.2414	
14	54	1	192	19	3	14.8401	0.3176	0.2471	
14	24	2	221	44	10	22.0721	0.2814	0.2036	
14	27	2	218	40	9	20.127	0.3669	0.2544	
14	30	2	215	40	4	21.079	0.345	0.2632	
14	33	2	212	49	8	19.8758	0.2774	0.1871	
14	36	2	209	50	8	19.6064	0.3311	0.2781	
14	39	2	206	49	10	19.7054	0.3197	0.2517	
14	42	2	203	49	10	19.7021	0.3264	0.2708	
14	45	2	200	54	12	19.4454	0.3284	0.2687	
14	48	2	197	46	16	18.2789	0.3481	0.2741	
14	51	2	194	58	14	18.8858	0.3115	0.2213	
14	54	2	191	62	15	18.9413	0.3596	0.2807	
