period	w.size	ndiff	nwind	p.nval	p.nnorm	RMSE	90 conf	75 conf	
30	12	0	58	0.1897	0.1277	28.0154	0.4146	0.3415	
30	15	0	55	0.2	0.0455	29.4788	0.4286	0.3333	
30	18	0	52	0.2115	0	28.0913	0.4146	0.2927	
30	21	0	49	0.2245	0.0526	28.0053	0.3889	0.25	
30	24	0	46	0.087	0.1429	25.9835	0.4722	0.4167	
30	27	0	43	0.1628	0.0833	27.6511	0.4848	0.3333	
30	30	0	40	0.175	0.0909	26.2623	0.6	0.4333	
30	33	0	37	0.1892	0.1333	28.2413	0.5	0.1538	
30	36	0	34	0.0882	0.1613	26.8478	0.5769	0.3846	
30	12	1	57	0.1228	0.16	32.5428	0.4048	0.3333	
30	15	1	54	0.0926	0.2449	30.7567	0.5135	0.3514	
30	18	1	51	0.1569	0.3488	30.3691	0.3571	0.1429	
30	21	1	48	0.2083	0.2895	35.0857	0.2963	0.1481	
30	24	1	45	0.0889	0.3171	30.471	0.4286	0.2143	
30	27	1	42	0.119	0.2973	31.5922	0.3846	0.2692	
30	30	1	39	0.1795	0.4062	28.1208	0.5263	0.4211	
30	33	1	36	0.2222	0.4643	30.6201	0.4667	0.2667	
30	36	1	33	0	0.2424	35.9924	0.36	0.28	
30	12	2	56	0.1607	0	42.1842	0.234	0.1489	
30	15	2	53	0.0755	0	42.3845	0.2041	0.1633	
30	18	2	50	0.1	0	43.0304	0.3111	0.2	
30	21	2	47	0.0638	0	42.6083	0.1591	0.1364	
30	24	2	44	0.1136	0	44.0618	0.1795	0.1026	
30	27	2	41	0.1463	0	45.3455	0.1714	0.1143	
30	30	2	38	0.1842	0	46.9194	0.0968	0.0645	
30	33	2	35	0.1714	0	47.3641	0.2759	0.2759	
30	36	2	32	0.0312	0	48.102	0.1613	0.0968	
