period	w.size	ndiff	nwind	nnval	nnnorm	RMSE	90 conf	75 conf	
14	24	0	223	33	25	18.4175	0.903	0.8364	
14	27	0	220	32	34	15.5545	0.9156	0.8182	
14	30	0	217	32	39	13.2803	0.9247	0.8699	
14	33	0	214	29	45	14.8439	0.9	0.8643	
14	36	0	211	31	56	13.3972	0.9435	0.871	
14	39	0	208	30	61	14.9439	0.9316	0.8718	
14	42	0	205	28	58	15.3356	0.9328	0.8571	
14	45	0	202	35	66	15.8706	0.9505	0.8812	
14	48	0	199	35	70	14.7681	0.9574	0.9255	
14	51	0	196	34	74	13.9321	0.9659	0.9205	
14	54	0	193	35	78	14.5164	0.9625	0.9125	
14	24	1	222	26	11	19.7705	0.427	0.3027	
14	27	1	219	20	24	18.0539	0.3657	0.2857	
14	30	1	216	28	28	18.0469	0.4312	0.3062	
14	33	1	213	30	31	17.9844	0.3684	0.3158	
14	36	1	210	31	35	17.6171	0.3889	0.3056	
14	39	1	207	27	34	17.16	0.4247	0.2877	
14	42	1	204	25	40	17.1311	0.446	0.3381	
14	45	1	201	27	40	17.5275	0.4179	0.3284	
14	48	1	198	21	40	17.1213	0.4015	0.3066	
14	51	1	195	15	43	16.7823	0.438	0.3358	
14	54	1	192	16	62	17.5911	0.386	0.3158	
14	24	2	221	53	9	26.4102	0.2642	0.2013	
14	27	2	218	52	10	24.629	0.2756	0.1923	
14	30	2	215	49	14	24.7462	0.2434	0.1711	
14	33	2	212	55	16	24.0487	0.2837	0.1986	
14	36	2	209	39	22	25.3042	0.277	0.2027	
14	39	2	206	37	28	26.0777	0.2482	0.1702	
14	42	2	203	35	31	26.7409	0.2263	0.1679	
14	45	2	200	34	27	25.4501	0.2446	0.1727	
14	48	2	197	34	23	24.9162	0.2571	0.2	
14	51	2	194	37	23	23.1309	0.2761	0.194	
14	54	2	191	32	26	21.4298	0.2932	0.2481	
