period	w.size	ndiff	nwind	p.nval	p.nnorm	RMSE	90 conf	75 conf	
7	36	0	458	0.0328	0.1783	11.5142	0.9093	0.8297	
7	39	0	455	0.0286	0.1833	11.6885	0.9114	0.8338	
7	42	0	452	0.031	0.1872	11.3673	0.9326	0.8624	
7	45	0	449	0.0267	0.1854	8.495	0.9326	0.8511	
7	48	0	446	0.0471	0.1788	9.0924	0.9255	0.8596	
7	51	0	443	0.0519	0.1929	8.3931	0.941	0.8791	
7	54	0	440	0.0682	0.1854	9.0207	0.9431	0.8832	
7	57	0	437	0.0824	0.197	8.6575	0.9441	0.8789	
7	60	0	434	0.0691	0.203	8.3238	0.9503	0.8851	
7	63	0	431	0.0742	0.2281	8.8945	0.9416	0.8636	
7	66	0	428	0.0794	0.2487	8.3348	0.9459	0.8682	
7	69	0	425	0.0729	0.2843	8.3855	0.9504	0.8723	
7	72	0	422	0.0711	0.3112	8.1105	0.9556	0.8778	
7	75	0	419	0.0644	0.3444	8.3474	0.9689	0.8794	
7	78	0	416	0.0457	0.3552	8.0082	0.957	0.8945	
7	36	1	457	0.0306	0.1174	9.6908	0.3785	0.289	
7	39	1	454	0.0396	0.0963	9.6353	0.3909	0.2868	
7	42	1	451	0.0421	0.1019	9.628	0.3376	0.2448	
7	45	1	448	0.0335	0.1039	9.4252	0.3531	0.2577	
7	48	1	445	0.0292	0.1181	9.6122	0.3675	0.2782	
7	51	1	442	0.0249	0.1183	9.6928	0.3368	0.2605	
7	54	1	439	0.0478	0.0909	9.6931	0.3289	0.2553	
7	57	1	436	0.0665	0.0983	9.6654	0.3597	0.2807	
7	60	1	433	0.0462	0.092	8.9048	0.3893	0.2773	
7	63	1	430	0.0581	0.1111	8.6984	0.3444	0.2528	
7	66	1	427	0.0468	0.1302	8.6851	0.3672	0.2655	
7	69	1	424	0.0448	0.158	8.8131	0.3314	0.2551	
7	72	1	421	0.0309	0.1691	8.8364	0.3599	0.2507	
7	75	1	418	0.0215	0.2225	8.9942	0.3585	0.2704	
7	78	1	415	0.0072	0.2476	8.3957	0.3903	0.2903	
7	36	2	456	0.1272	0.1382	12.1381	0.3499	0.2449	
7	39	2	453	0.1611	0.1368	12.2562	0.3079	0.25	
7	42	2	450	0.1756	0.159	12.3042	0.3141	0.234	
7	45	2	447	0.1857	0.1621	11.649	0.3344	0.2459	
7	48	2	444	0.1374	0.1671	11.9046	0.3605	0.2571	
7	51	2	441	0.1769	0.1901	12.0174	0.3231	0.2211	
7	54	2	438	0.2283	0.1716	11.6746	0.3179	0.2286	
7	57	2	435	0.2322	0.1856	12.1858	0.3015	0.239	
7	60	2	432	0.2153	0.1799	12.1054	0.3453	0.2626	
7	63	2	429	0.2075	0.1853	11.5417	0.3321	0.2635	
7	66	2	426	0.223	0.1994	10.6667	0.3434	0.2755	
7	69	2	423	0.2222	0.2158	10.5616	0.3488	0.2558	
7	72	2	420	0.2095	0.1958	10.5502	0.3521	0.2547	
7	75	2	417	0.2278	0.1957	9.5248	0.3629	0.2664	
7	78	2	414	0.244	0.1949	9.1116	0.381	0.3135	
