period	w.size	ndiff	nwind	p.nval	p.nnorm	RMSE	90 conf	75 conf	
14	24	0	223	0.0493	0.0425	19.3307	0.8867	0.7882	
14	27	0	220	0.05	0.0526	15.816	0.904	0.798	
14	30	0	217	0.0599	0.0686	15.7743	0.9053	0.8053	
14	33	0	214	0.0561	0.0545	14.8422	0.9162	0.8115	
14	36	0	211	0.0427	0.0941	14.7299	0.9454	0.847	
14	39	0	208	0.0385	0.125	14.5529	0.9543	0.88	
14	42	0	205	0.0146	0.1584	14.7545	0.9412	0.8471	
14	45	0	202	0.0396	0.201	14.0061	0.9548	0.8839	
14	48	0	199	0.0302	0.2435	15.2696	0.9452	0.8836	
14	51	0	196	0.0357	0.2646	14.7779	0.9353	0.9065	
14	54	0	193	0.0415	0.2865	15.0171	0.9318	0.9091	
14	24	1	222	0.0991	0.04	16.4695	0.4635	0.3438	
14	27	1	219	0.0959	0.0253	15.2702	0.4611	0.3938	
14	30	1	216	0.1111	0.0156	15.9387	0.3757	0.328	
14	33	1	213	0.0939	0.0155	15.968	0.3947	0.2842	
14	36	1	210	0.0762	0.0258	15.7459	0.3915	0.3069	
14	39	1	207	0.0821	0.0263	15.2116	0.3243	0.2919	
14	42	1	204	0.0784	0.0266	15.1269	0.3497	0.235	
14	45	1	201	0.0796	0.027	14.038	0.3667	0.2889	
14	48	1	198	0.0657	0.0324	14.2528	0.3408	0.2849	
14	51	1	195	0.0821	0.0279	14.6695	0.2989	0.2414	
14	54	1	192	0.099	0.0173	14.8401	0.3176	0.2471	
14	24	2	221	0.1991	0.0565	22.0721	0.2814	0.2036	
14	27	2	218	0.1835	0.0506	20.127	0.3669	0.2544	
14	30	2	215	0.186	0.0229	21.079	0.345	0.2632	
14	33	2	212	0.2311	0.0491	19.8758	0.2774	0.1871	
14	36	2	209	0.2392	0.0503	19.6064	0.3311	0.2781	
14	39	2	206	0.2379	0.0637	19.7054	0.3197	0.2517	
14	42	2	203	0.2414	0.0649	19.7021	0.3264	0.2708	
14	45	2	200	0.27	0.0822	19.4454	0.3284	0.2687	
14	48	2	197	0.2335	0.106	18.2789	0.3481	0.2741	
14	51	2	194	0.299	0.1029	18.8858	0.3115	0.2213	
14	54	2	191	0.3246	0.1163	18.9413	0.3596	0.2807	
