period	w.size	ndiff	nwind	nnval	nnnorm	RMSE	90 conf	75 conf	
7	36	0	459	30	39	9.86	0.8897	0.7949	
7	39	0	456	29	39	9.5371	0.8995	0.8093	
7	42	0	453	26	49	9.5295	0.9074	0.8228	
7	45	0	450	30	57	9.7326	0.8981	0.8402	
7	48	0	447	36	61	9.9171	0.8943	0.8257	
7	51	0	444	40	68	9.6058	0.9137	0.8304	
7	54	0	441	41	75	9.4234	0.9015	0.8369	
7	57	0	438	36	84	9.5227	0.9088	0.8176	
7	60	0	435	33	99	9.0788	0.9175	0.8284	
7	63	0	432	39	104	9.1516	0.917	0.8304	
7	66	0	429	35	108	8.7717	0.9301	0.8636	
7	69	0	426	34	111	9.0589	0.9253	0.8505	
7	72	0	423	33	121	8.5253	0.948	0.855	
7	75	0	420	31	120	8.5665	0.9405	0.8662	
7	78	0	417	33	139	8.6697	0.9429	0.8694	
7	36	1	458	36	52	9.6252	0.3784	0.2568	
7	39	1	455	30	50	9.4768	0.352	0.2453	
7	42	1	452	35	49	9.5606	0.356	0.2636	
7	45	1	449	42	54	9.6163	0.3144	0.2408	
7	48	1	446	39	58	9.4862	0.3324	0.2636	
7	51	1	443	27	52	9.2261	0.3489	0.261	
7	54	1	440	25	66	9.3312	0.3582	0.2464	
7	57	1	437	23	67	9.078	0.366	0.2824	
7	60	1	434	22	70	9.0127	0.3596	0.2778	
7	63	1	431	26	75	8.8855	0.3485	0.2576	
7	66	1	428	23	80	8.8611	0.3538	0.2523	
7	69	1	425	27	79	8.9273	0.3605	0.2821	
7	72	1	422	29	81	8.4446	0.3846	0.2917	
7	75	1	419	21	86	8.2176	0.3558	0.2564	
7	78	1	416	22	88	8.2652	0.3562	0.2647	
7	36	2	457	65	11	12.885	0.294	0.2047	
7	39	2	454	72	8	12.8026	0.3048	0.2273	
7	42	2	451	75	12	12.865	0.2582	0.1758	
7	45	2	448	71	13	12.836	0.3022	0.2115	
7	48	2	445	62	11	12.2567	0.3172	0.2151	
7	51	2	442	59	10	12.213	0.3083	0.2225	
7	54	2	439	62	9	11.746	0.3043	0.2418	
7	57	2	436	68	14	11.6564	0.3418	0.2655	
7	60	2	433	63	21	11.382	0.3209	0.2521	
7	63	2	430	66	22	11.2337	0.3363	0.2661	
7	66	2	427	70	20	10.9923	0.3175	0.2552	
7	69	2	424	66	28	10.6024	0.3303	0.2242	
7	72	2	421	68	31	10.4374	0.3665	0.2702	
7	75	2	418	72	29	9.9606	0.3375	0.2587	
7	78	2	415	78	38	10.1103	0.3077	0.2174	
